STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,ACTION,PERIOD_INC_INC_005,Year,OCC2_INC_INC_005,Occupation,SEX_INC_INC_005,Sex,QAL_INC_INC_005,Highest qualification,MEASURE_INC_INC_005,Measure,OBS_VALUE,Observation value
DATAFLOW,STATSNZ:INC_INC_005(1.0),"Earnings from main wage and salary job by occupation (ANZSCO 2006), sex, and highest qualification",I,201306,2013,1,Managers,2,Female,7,Postgraduate qualification,AV_WEEK_INC,,1494,
DATAFLOW,STATSNZ:INC_INC_005(1.0),"Earnings from main wage and salary job by occupation (ANZSCO 2006), sex, and highest qualification",I,201306,2013,1,Managers,2,Female,7,Postgraduate qualification,MED_HOUR_EARN,,34.52,
DATAFLOW,STATSNZ:INC_INC_005(1.0),"Earnings from main wage and salary job by occupation (ANZSCO 2006), sex, and highest qualification",I,201306,2013,1,Managers,2,Female,7,Postgraduate qualification,MED_WEEK_INC,,1247,
DATAFLOW,STATSNZ:INC_INC_005(1.0),"Earnings from main wage and salary job by occupation (ANZSCO 2006), sex, and highest qualification",I,201306,2013,1,Managers,2,Female,7,Postgraduate qualification,NO_PEOPLE,,11.8,
DATAFLOW,STATSNZ:INC_INC_005(1.0),"Earnings from main wage and salary job by occupation (ANZSCO 2006), sex, and highest qualification",I,201306,2013,1,Managers,2,Female,8,Post-school qualification not elsewhere classified,AV_HOUR_EARN,,27.58,
DATAFLOW,STATSNZ:INC_INC_005(1.0),"Earnings from main wage and salary job by occupation (ANZSCO 2006), sex, and highest qualification",I,201306,2013,1,Managers,2,Female,8,Post-school qualification not elsewhere classified,AV_WEEK_INC,,1072,
DATAFLOW,STATSNZ:INC_INC_005(1.0),"Earnings from main wage and salary job by occupation (ANZSCO 2006), sex, and highest qualification",I,201306,2013,1,Managers,2,Female,8,Post-school qualification not elsewhere classified,MED_HOUR_EARN,,26.32,
DATAFLOW,STATSNZ:INC_INC_005(1.0),"Earnings from main wage and salary job by occupation (ANZSCO 2006), sex, and highest qualification",I,201306,2013,1,Managers,2,Female,8,Post-school qualification not elsewhere classified,MED_WEEK_INC,,864,
DATAFLOW,STATSNZ:INC_INC_005(1.0),"Earnings from main wage and salary job by occupation (ANZSCO 2006), sex, and highest qualification",I,201306,2013,1,Managers,2,Female,8,Post-school qualification not elsewhere classified,NO_PEOPLE,,3.7,
DATAFLOW,STATSNZ:INC_INC_005(1.0),"Earnings from main wage and salary job by occupation (ANZSCO 2006), sex, and highest qualification",I,201306,2013,1,Managers,2,Female,98,Total All Qualifications,AV_HOUR_EARN,,28.49,
DATAFLOW,STATSNZ:INC_INC_005(1.0),"Earnings from main wage and salary job by occupation (ANZSCO 2006), sex, and highest qualification",I,201306,2013,1,Managers,2,Female,98,Total All Qualifications,AV_WEEK_INC,,1081,
DATAFLOW,STATSNZ:INC_INC_005(1.0),"Earnings from main wage and salary job by occupation (ANZSCO 2006), sex, and highest qualification",I,201306,2013,1,Managers,2,Female,98,Total All Qualifications,MED_HOUR_EARN,,24,
DATAFLOW,STATSNZ:INC_INC_005(1.0),"Earnings from main wage and salary job by occupation (ANZSCO 2006), sex, and highest qualification",I,201306,2013,1,Managers,2,Female,98,Total All Qualifications,MED_WEEK_INC,,944,
DATAFLOW,STATSNZ:INC_INC_005(1.0),"Earnings from main wage and salary job by occupation (ANZSCO 2006), sex, and highest qualification",I,201306,2013,1,Managers,2,Female,98,Total All Qualifications,NO_PEOPLE,,99.4,
DATAFLOW,STATSNZ:INC_INC_005(1.0),"Earnings from main wage and salary job by occupation (ANZSCO 2006), sex, and highest qualification",I,201306,2013,1,Managers,98,Total Both Sexes,1,No qualification,AV_HOUR_EARN,,24.16,
DATAFLOW,STATSNZ:INC_INC_005(1.0),"Earnings from main wage and salary job by occupation (ANZSCO 2006), sex, and highest qualification",I,201306,2013,1,Managers,98,Total Both Sexes,1,No qualification,AV_WEEK_INC,,996,
DATAFLOW,STATSNZ:INC_INC_005(1.0),"Earnings from main wage and salary job by occupation (ANZSCO 2006), sex, and highest qualification",I,201306,2013,1,Managers,98,Total Both Sexes,1,No qualification,MED_HOUR_EARN,,19.95,
DATAFLOW,STATSNZ:INC_INC_005(1.0),"Earnings from main wage and salary job by occupation (ANZSCO 2006), sex, and highest qualification",I,201306,2013,1,Managers,98,Total Both Sexes,1,No qualification,MED_WEEK_INC,,863,
DATAFLOW,STATSNZ:INC_INC_005(1.0),"Earnings from main wage and salary job by occupation (ANZSCO 2006), sex, and highest qualification",I,201306,2013,1,Managers,98,Total Both Sexes,1,No qualification,NO_PEOPLE,,37.2,
DATAFLOW,STATSNZ:INC_INC_005(1.0),"Earnings from main wage and salary job by occupation (ANZSCO 2006), sex, and highest qualification",I,201306,2013,1,Managers,98,Total Both Sexes,2,Lower secondary school qualification,AV_HOUR_EARN,,27.57,
DATAFLOW,STATSNZ:INC_INC_005(1.0),"Earnings from main wage and salary job by occupation (ANZSCO 2006), sex, and highest qualification",I,201306,2013,1,Managers,98,Total Both Sexes,2,Lower secondary school qualification,AV_WEEK_INC,,1116,
DATAFLOW,STATSNZ:INC_INC_005(1.0),"Earnings from main wage and salary job by occupation (ANZSCO 2006), sex, and highest qualification",I,201306,2013,1,Managers,98,Total Both Sexes,2,Lower secondary school qualification,MED_HOUR_EARN,,24,
DATAFLOW,STATSNZ:INC_INC_005(1.0),"Earnings from main wage and salary job by occupation (ANZSCO 2006), sex, and highest qualification",I,201306,2013,1,Managers,98,Total Both Sexes,2,Lower secondary school qualification,MED_WEEK_INC,,920,
DATAFLOW,STATSNZ:INC_INC_005(1.0),"Earnings from main wage and salary job by occupation (ANZSCO 2006), sex, and highest qualification",I,201306,2013,1,Managers,98,Total Both Sexes,2,Lower secondary school qualification,NO_PEOPLE,,22,
DATAFLOW,STATSNZ:INC_INC_005(1.0),"Earnings from main wage and salary job by occupation (ANZSCO 2006), sex, and highest qualification",I,201306,2013,1,Managers,98,Total Both Sexes,3,Upper secondary school qualification,AV_HOUR_EARN,,28.29,
DATAFLOW,STATSNZ:INC_INC_005(1.0),"Earnings from main wage and salary job by occupation (ANZSCO 2006), sex, and highest qualification",I,201306,2013,1,Managers,98,Total Both Sexes,3,Upper secondary school qualification,AV_WEEK_INC,,1146,
DATAFLOW,STATSNZ:INC_INC_005(1.0),"Earnings from main wage and salary job by occupation (ANZSCO 2006), sex, and highest qualification",I,201306,2013,1,Managers,98,Total Both Sexes,3,Upper secondary school qualification,MED_HOUR_EARN,,23.97,
DATAFLOW,STATSNZ:INC_INC_005(1.0),"Earnings from main wage and salary job by occupation (ANZSCO 2006), sex, and highest qualification",I,201306,2013,1,Managers,98,Total Both Sexes,3,Upper secondary school qualification,MED_WEEK_INC,,997,
DATAFLOW,STATSNZ:INC_INC_005(1.0),"Earnings from main wage and salary job by occupation (ANZSCO 2006), sex, and highest qualification",I,201306,2013,1,Managers,98,Total Both Sexes,3,Upper secondary school qualification,NO_PEOPLE,,46.5,
DATAFLOW,STATSNZ:INC_INC_005(1.0),"Earnings from main wage and salary job by occupation (ANZSCO 2006), sex, and highest qualification",I,201306,2013,1,Managers,98,Total Both Sexes,4,Level 1-3 post-school certificate,AV_HOUR_EARN,,22.42,
DATAFLOW,STATSNZ:INC_INC_005(1.0),"Earnings from main wage and salary job by occupation (ANZSCO 2006), sex, and highest qualification",I,201306,2013,1,Managers,98,Total Both Sexes,4,Level 1-3 post-school certificate,AV_WEEK_INC,,915,
DATAFLOW,STATSNZ:INC_INC_005(1.0),"Earnings from main wage and salary job by occupation (ANZSCO 2006), sex, and highest qualification",I,201306,2013,1,Managers,98,Total Both Sexes,4,Level 1-3 post-school certificate,MED_HOUR_EARN,,17.93,
DATAFLOW,STATSNZ:INC_INC_005(1.0),"Earnings from main wage and salary job by occupation (ANZSCO 2006), sex, and highest qualification",I,201306,2013,1,Managers,98,Total Both Sexes,4,Level 1-3 post-school certificate,MED_WEEK_INC,,806,
DATAFLOW,STATSNZ:INC_INC_005(1.0),"Earnings from main wage and salary job by occupation (ANZSCO 2006), sex, and highest qualification",I,201306,2013,1,Managers,98,Total Both Sexes,4,Level 1-3 post-school certificate,NO_PEOPLE,,10.3,
DATAFLOW,STATSNZ:INC_INC_005(1.0),"Earnings from main wage and salary job by occupation (ANZSCO 2006), sex, and highest qualification",I,201306,2013,1,Managers,98,Total Both Sexes,5,Level 4-6 certificate or diploma,AV_HOUR_EARN,,31.53,
DATAFLOW,STATSNZ:INC_INC_005(1.0),"Earnings from main wage and salary job by occupation (ANZSCO 2006), sex, and highest qualification",I,201306,2013,1,Managers,98,Total Both Sexes,5,Level 4-6 certificate or diploma,AV_WEEK_INC,,1300,
DATAFLOW,STATSNZ:INC_INC_005(1.0),"Earnings from main wage and salary job by occupation (ANZSCO 2006), sex, and highest qualification",I,201306,2013,1,Managers,98,Total Both Sexes,5,Level 4-6 certificate or diploma,MED_HOUR_EARN,,26.04,
DATAFLOW,STATSNZ:INC_INC_005(1.0),"Earnings from main wage and salary job by occupation (ANZSCO 2006), sex, and highest qualification",I,201306,2013,1,Managers,98,Total Both Sexes,5,Level 4-6 certificate or diploma,MED_WEEK_INC,,1127,
DATAFLOW,STATSNZ:INC_INC_005(1.0),"Earnings from main wage and salary job by occupation (ANZSCO 2006), sex, and highest qualification",I,201306,2013,1,Managers,98,Total Both Sexes,5,Level 4-6 certificate or diploma,NO_PEOPLE,,61.1,
