PERIOD,year,total_deficit_mm,rain_days_count,total_runoff_mm,total_rainfall_mm,station_id,station_name,month_name,load_timestamp,month_number
July,2003,,13.0,,64.0,4960,NIWA Station 4960,July,2025-08-01 09:46:31.021708,7
July,2004,0.0,11.0,36.4,62.4,4960,NIWA Station 4960,July,2025-08-01 09:46:31.021708,7
July,2005,,14.0,,26.0,4960,NIWA Station 4960,July,2025-08-01 09:46:31.021708,7
July,2006,0.0,13.0,31.8,55.6,4960,NIWA Station 4960,July,2025-08-01 09:46:31.021708,7
July,2007,0.0,17.0,26.1,68.2,4960,NIWA Station 4960,July,2025-08-01 09:46:31.021708,7
July,2008,0.0,22.0,94.8,125.0,4960,NIWA Station 4960,July,2025-08-01 09:46:31.021708,7
July,2009,0.0,14.0,38.9,51.6,4960,NIWA Station 4960,July,2025-08-01 09:46:31.021708,7
July,2010,0.0,14.0,40.7,52.0,4960,NIWA Station 4960,July,2025-08-01 09:46:31.021708,7
July,2011,0.0,14.0,0.0,32.4,4960,NIWA Station 4960,July,2025-08-01 09:46:31.021708,7
July,2012,0.0,11.0,14.8,32.2,4960,NIWA Station 4960,July,2025-08-01 09:46:31.021708,7
July,2013,0.0,8.0,20.3,33.8,4960,NIWA Station 4960,July,2025-08-01 09:46:31.021708,7
July,2014,,21.0,,124.6,4960,NIWA Station 4960,July,2025-08-01 09:46:31.021708,7
July,2015,0.0,14.0,28.7,51.0,4960,NIWA Station 4960,July,2025-08-01 09:46:31.021708,7
July,2016,0.0,7.0,0.0,57.8,4960,NIWA Station 4960,July,2025-08-01 09:46:31.021708,7
July,2017,0.0,18.0,117.5,128.0,4960,NIWA Station 4960,July,2025-08-01 09:46:31.021708,7
July,2018,0.0,8.0,32.4,53.2,4960,NIWA Station 4960,July,2025-08-01 09:46:31.021708,7
July,2020,0.0,9.0,0.0,40.8,4960,NIWA Station 4960,July,2025-08-01 09:46:31.021708,7
July,2021,0.0,12.0,0.0,21.8,4960,NIWA Station 4960,July,2025-08-01 09:46:31.021708,7
July,2022,0.0,18.0,140.0,237.2,4960,NIWA Station 4960,July,2025-08-01 09:46:31.021708,7
July,2023,0.0,20.0,181.4,203.4,4960,NIWA Station 4960,July,2025-08-01 09:46:31.021708,7
July,2024,0.0,,,,4960,NIWA Station 4960,July,2025-08-01 09:46:31.021708,7
June,1984,0.0,9.0,0.0,16.4,4960,NIWA Station 4960,June,2025-08-01 09:46:31.021708,6
June,1986,,,0.0,,4960,NIWA Station 4960,June,2025-08-01 09:46:31.021708,6
June,1987,0.0,,0.0,,4960,NIWA Station 4960,June,2025-08-01 09:46:31.021708,6
June,1988,0.0,,0.0,,4960,NIWA Station 4960,June,2025-08-01 09:46:31.021708,6
June,1989,0.0,20.0,52.1,86.0,4960,NIWA Station 4960,June,2025-08-01 09:46:31.021708,6
June,1991,0.0,,,,4960,NIWA Station 4960,June,2025-08-01 09:46:31.021708,6
June,1992,0.0,19.0,0.0,51.2,4960,NIWA Station 4960,June,2025-08-01 09:46:31.021708,6
June,1993,0.0,12.0,34.6,54.0,4960,NIWA Station 4960,June,2025-08-01 09:46:31.021708,6
June,1994,0.0,,,,4960,NIWA Station 4960,June,2025-08-01 09:46:31.021708,6
June,1995,0.0,19.0,129.9,222.0,4960,NIWA Station 4960,June,2025-08-01 09:46:31.021708,6
June,1997,0.0,15.0,13.0,48.6,4960,NIWA Station 4960,June,2025-08-01 09:46:31.021708,6
June,1998,,11.0,,37.2,4960,NIWA Station 4960,June,2025-08-01 09:46:31.021708,6
June,1999,,15.0,,97.0,4960,NIWA Station 4960,June,2025-08-01 09:46:31.021708,6
June,2000,0.0,10.0,1.9,32.6,4960,NIWA Station 4960,June,2025-08-01 09:46:31.021708,6
June,2001,0.0,13.0,0.0,47.0,4960,NIWA Station 4960,June,2025-08-01 09:46:31.021708,6
June,2002,0.0,16.0,65.6,85.6,4960,NIWA Station 4960,June,2025-08-01 09:46:31.021708,6
June,2003,0.0,7.0,3.9,24.8,4960,NIWA Station 4960,June,2025-08-01 09:46:31.021708,6
June,2004,0.0,10.0,58.2,72.2,4960,NIWA Station 4960,June,2025-08-01 09:46:31.021708,6
June,2005,0.0,19.0,27.1,49.4,4960,NIWA Station 4960,June,2025-08-01 09:46:31.021708,6
June,2006,0.0,16.0,100.9,119.1,4960,NIWA Station 4960,June,2025-08-01 09:46:31.021708,6
June,2007,0.6,16.0,0.0,84.3,4960,NIWA Station 4960,June,2025-08-01 09:46:31.021708,6
June,2008,0.0,17.0,11.2,107.2,4960,NIWA Station 4960,June,2025-08-01 09:46:31.021708,6
June,2009,0.0,15.0,12.5,67.8,4960,NIWA Station 4960,June,2025-08-01 09:46:31.021708,6
June,2010,0.0,22.0,79.8,98.5,4960,NIWA Station 4960,June,2025-08-01 09:46:31.021708,6
June,2011,0.0,14.0,0.0,30.4,4960,NIWA Station 4960,June,2025-08-01 09:46:31.021708,6
June,2012,0.0,16.0,32.1,115.5,4960,NIWA Station 4960,June,2025-08-01 09:46:31.021708,6
June,2013,0.0,,161.7,,4960,NIWA Station 4960,June,2025-08-01 09:46:31.021708,6
June,2014,,11.0,,25.3,4960,NIWA Station 4960,June,2025-08-01 09:46:31.021708,6
June,2015,0.0,16.0,34.9,86.0,4960,NIWA Station 4960,June,2025-08-01 09:46:31.021708,6
June,2016,0.0,9.0,0.0,16.6,4960,NIWA Station 4960,June,2025-08-01 09:46:31.021708,6
June,2017,0.0,,,,4960,NIWA Station 4960,June,2025-08-01 09:46:31.021708,6
June,2018,0.0,,30.1,,4960,NIWA Station 4960,June,2025-08-01 09:46:31.021708,6
June,2020,0.0,19.0,0.0,88.6,4960,NIWA Station 4960,June,2025-08-01 09:46:31.021708,6
June,2021,0.0,20.0,0.0,51.0,4960,NIWA Station 4960,June,2025-08-01 09:46:31.021708,6
June,2022,0.8,19.0,0.0,48.2,4960,NIWA Station 4960,June,2025-08-01 09:46:31.021708,6
June,2023,0.0,14.0,6.3,41.8,4960,NIWA Station 4960,June,2025-08-01 09:46:31.021708,6
June,2024,0.0,14.0,0.0,64.2,4960,NIWA Station 4960,June,2025-08-01 09:46:31.021708,6
June,2025,0.0,18.0,26.6,85.4,4960,NIWA Station 4960,June,2025-08-01 09:46:31.021708,6
March,1985,,,0.0,,4960,NIWA Station 4960,March,2025-08-01 09:46:31.021708,3
March,1986,15.1,8.0,0.0,60.4,4960,NIWA Station 4960,March,2025-08-01 09:46:31.021708,3
March,1987,0.0,12.0,0.0,106.6,4960,NIWA Station 4960,March,2025-08-01 09:46:31.021708,3
March,1989,,9.0,,33.0,4960,NIWA Station 4960,March,2025-08-01 09:46:31.021708,3
March,1991,,7.0,,11.0,4960,NIWA Station 4960,March,2025-08-01 09:46:31.021708,3
March,1994,,,0.0,,4960,NIWA Station 4960,March,2025-08-01 09:46:31.021708,3
March,1997,10.1,12.0,0.0,74.5,4960,NIWA Station 4960,March,2025-08-01 09:46:31.021708,3
