month_name,year,station_id,station_name,load_timestamp,month_number,mean_temperature_c
February,2020,4960,NIWA Station 4960,2025-08-01 10:29:01.508589,2,3.6
February,2021,4960,NIWA Station 4960,2025-08-01 10:29:01.508589,2,2.6
February,2022,4960,NIWA Station 4960,2025-08-01 10:29:01.508589,2,3.2
February,2023,4960,NIWA Station 4960,2025-08-01 10:29:01.508589,2,3.7
February,2024,4960,NIWA Station 4960,2025-08-01 10:29:01.508589,2,3.4
February,2025,4960,NIWA Station 4960,2025-08-01 10:29:01.508589,2,1.8
January,1947,2109,NIWA Station 2109,2025-08-01 10:29:01.525514,1,2.3
January,1948,2109,NIWA Station 2109,2025-08-01 10:29:01.525514,1,1.8
January,1949,2109,NIWA Station 2109,2025-08-01 10:29:01.525514,1,2.1
January,1950,2109,NIWA Station 2109,2025-08-01 10:29:01.525514,1,1.8
January,1951,2109,NIWA Station 2109,2025-08-01 10:29:01.525514,1,1.9
January,1952,2109,NIWA Station 2109,2025-08-01 10:29:01.525514,1,1.7
January,1954,2109,NIWA Station 2109,2025-08-01 10:29:01.525514,1,1.5
January,1955,2109,NIWA Station 2109,2025-08-01 10:29:01.525514,1,1.9
January,1956,2109,NIWA Station 2109,2025-08-01 10:29:01.525514,1,1.5
January,1957,2109,NIWA Station 2109,2025-08-01 10:29:01.525514,1,2.0
January,1958,2109,NIWA Station 2109,2025-08-01 10:29:01.525514,1,3.1
January,1959,2109,NIWA Station 2109,2025-08-01 10:29:01.525514,1,2.0
January,1960,2109,NIWA Station 2109,2025-08-01 10:29:01.525514,1,2.3
January,1961,2109,NIWA Station 2109,2025-08-01 10:29:01.525514,1,1.7
January,1962,2109,NIWA Station 2109,2025-08-01 10:29:01.525514,1,1.3
January,1963,2109,NIWA Station 2109,2025-08-01 10:29:01.525514,1,1.8
January,1964,2109,NIWA Station 2109,2025-08-01 10:29:01.525514,1,1.8
January,1965,2109,NIWA Station 2109,2025-08-01 10:29:01.525514,1,1.4
January,1966,2109,NIWA Station 2109,2025-08-01 10:29:01.525514,1,2.1
January,1967,2109,NIWA Station 2109,2025-08-01 10:29:01.525514,1,1.7
January,1968,2109,NIWA Station 2109,2025-08-01 10:29:01.525514,1,1.9
January,1969,2109,NIWA Station 2109,2025-08-01 10:29:01.525514,1,1.6
January,1970,2109,NIWA Station 2109,2025-08-01 10:29:01.525514,1,2.3
January,1971,2109,NIWA Station 2109,2025-08-01 10:29:01.525514,1,1.4
January,1972,2109,NIWA Station 2109,2025-08-01 10:29:01.525514,1,2.0
January,1973,2109,NIWA Station 2109,2025-08-01 10:29:01.525514,1,1.4
January,1974,2109,NIWA Station 2109,2025-08-01 10:29:01.525514,1,2.0
January,1975,2109,NIWA Station 2109,2025-08-01 10:29:01.525514,1,1.7
January,1976,2109,NIWA Station 2109,2025-08-01 10:29:01.525514,1,2.0
January,1977,2109,NIWA Station 2109,2025-08-01 10:29:01.525514,1,1.6
January,1978,2109,NIWA Station 2109,2025-08-01 10:29:01.525514,1,2.6
January,1979,2109,NIWA Station 2109,2025-08-01 10:29:01.525514,1,2.3
January,1980,2109,NIWA Station 2109,2025-08-01 10:29:01.525514,1,2.3
January,1981,2109,NIWA Station 2109,2025-08-01 10:29:01.525514,1,2.1
January,1982,2109,NIWA Station 2109,2025-08-01 10:29:01.525514,1,1.7
January,1983,2109,NIWA Station 2109,2025-08-01 10:29:01.525514,1,1.3
January,1984,2109,NIWA Station 2109,2025-08-01 10:29:01.525514,1,1.6
January,1985,4960,NIWA Station 4960,2025-08-01 10:29:01.508589,1,1.9
January,1986,4960,NIWA Station 4960,2025-08-01 10:29:01.508589,1,2.7
January,1987,4960,NIWA Station 4960,2025-08-01 10:29:01.508589,1,2.0
January,1990,4960,NIWA Station 4960,2025-08-01 10:29:01.508589,1,2.8
January,1992,4960,NIWA Station 4960,2025-08-01 10:29:01.508589,1,2.3
