PERIOD,year,mean_temperature_c,station_id,station_name,month_name,load_timestamp,month_number
March,1992,13.4,4960,NIWA Station 4960,March,2025-08-01 09:46:31.030696,3
March,1993,11.8,4960,NIWA Station 4960,March,2025-08-01 09:46:31.030696,3
March,1995,15.1,4960,NIWA Station 4960,March,2025-08-01 09:46:31.030696,3
March,1996,12.9,4960,NIWA Station 4960,March,2025-08-01 09:46:31.030696,3
March,1997,12.7,4960,NIWA Station 4960,March,2025-08-01 09:46:31.030696,3
March,1998,16.7,4960,NIWA Station 4960,March,2025-08-01 09:46:31.030696,3
March,2000,13.6,4960,NIWA Station 4960,March,2025-08-01 09:46:31.030696,3
March,2001,14.8,4960,NIWA Station 4960,March,2025-08-01 09:46:31.030696,3
March,2002,14.9,4960,NIWA Station 4960,March,2025-08-01 09:46:31.030696,3
March,2003,14.4,4960,NIWA Station 4960,March,2025-08-01 09:46:31.030696,3
March,2004,13.8,4960,NIWA Station 4960,March,2025-08-01 09:46:31.030696,3
March,2005,14.2,4960,NIWA Station 4960,March,2025-08-01 09:46:31.030696,3
March,2006,11.9,4960,NIWA Station 4960,March,2025-08-01 09:46:31.030696,3
March,2007,15.1,4960,NIWA Station 4960,March,2025-08-01 09:46:31.030696,3
March,2008,15.2,4960,NIWA Station 4960,March,2025-08-01 09:46:31.030696,3
March,2009,13.9,4960,NIWA Station 4960,March,2025-08-01 09:46:31.030696,3
March,2011,14.4,4960,NIWA Station 4960,March,2025-08-01 09:46:31.030696,3
March,2012,12.9,4960,NIWA Station 4960,March,2025-08-01 09:46:31.030696,3
March,2013,15.5,4960,NIWA Station 4960,March,2025-08-01 09:46:31.030696,3
March,2014,13.2,4960,NIWA Station 4960,March,2025-08-01 09:46:31.030696,3
March,2015,14.1,4960,NIWA Station 4960,March,2025-08-01 09:46:31.030696,3
March,2016,14.9,4960,NIWA Station 4960,March,2025-08-01 09:46:31.030696,3
March,2017,13.3,4960,NIWA Station 4960,March,2025-08-01 09:46:31.030696,3
March,2018,15.1,4960,NIWA Station 4960,March,2025-08-01 09:46:31.030696,3
March,2019,15.7,4960,NIWA Station 4960,March,2025-08-01 09:46:31.030696,3
March,2020,13.4,4960,NIWA Station 4960,March,2025-08-01 09:46:31.030696,3
March,2021,14.9,4960,NIWA Station 4960,March,2025-08-01 09:46:31.030696,3
March,2022,13.8,4960,NIWA Station 4960,March,2025-08-01 09:46:31.030696,3
March,2023,14.2,4960,NIWA Station 4960,March,2025-08-01 09:46:31.030696,3
March,2024,13.0,4960,NIWA Station 4960,March,2025-08-01 09:46:31.030696,3
March,2025,14.5,4960,NIWA Station 4960,March,2025-08-01 09:46:31.030696,3
May,1984,8.7,4960,NIWA Station 4960,May,2025-08-01 09:46:31.030696,5
May,1985,10.2,4960,NIWA Station 4960,May,2025-08-01 09:46:31.030696,5
